CC-BY-4.0,https://creativecommons.org/licenses/by/4.0/,Creative Commons Attribution 4.0
CC-BY-NC-4.0,https://creativecommons.org/licenses/by-nc/4.0/,Creative Commons Attribution Non Commercial 4.0
CC-BY-NC-ND-4.0,https://creativecommons.org/licenses/by-nc-nd/4.0/,Creative Commons Attribution Non Commercial No Derivatives 4.0
CC-BY-NC-SA-4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/,Creative Commons Attribution Non Commercial Share Alike 4.0
CC-BY-ND-4.0,https://creativecommons.org/licenses/by-nd/4.0/,Creative Commons Attribution No Derivatives 4.0
CC-BY-SA-4.0,https://creativecommons.org/licenses/by-sa/4.0/,Creative Commons Attribution Share Alike 4.0
CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/,Creative Commons Zero 1.0 Universal
CC-BY-3.0,https://creativecommons.org/licenses/by/3.0/,Creative Commons Attribution 3.0 Unported
CC-BY-NC-3.0,https://creativecommons.org/licenses/by-nc/3.0/,Creative Commons Attribution Non Commercial 3.0 Unported
CC-BY-NC-ND-3.0,https://creativecommons.org/licenses/by-nc-nd/3.0/,Creative Commons Attribution Non Commercial No Derivatives 3.0 Unported
CC-BY-NC-SA-3.0,https://creativecommons.org/licenses/by-nc-sa/3.0/,Creative Commons Attribution Non Commercial Share Alike 3.0 Unported
CC-BY-ND-3.0,https://creativecommons.org/licenses/by-nd/3.0/,Creative Commons Attribution No Derivatives 3.0 Unported
CC-BY-SA-3.0,https://creativecommons.org/licenses/by-sa/3.0/,Creative Commons Attribution Share Alike 3.0 Unported
PDDL,https://opendatacommons.org/licenses/pddl/,Open Data Commons Public Domain Dedication and License
ODC-BY-1.0,https://opendatacommons.org/licenses/by/1-0/,Open Data Commons Attribution License v1.0
ODbL-1.0,https://opendatacommons.org/licenses/odbl/1-0/,Open Data Commons Open Database License v1.0
AGPL-1.0,http://www.affero.org/oagpl.html,Affero General Public License v1.0
Apache-2.0,https://www.apache.org/licenses/LICENSE-2.0,Apache License v2.0
BSD-4-Clause,http://directory.fsf.org/wiki/License:BSD_4Clause,BSD 4-Clause (Original or Old) License
BSD-3-Clause,https://opensource.org/licenses/BSD-3-Clause,BSD 3-Clause License (New or Revised)
BSD-2-Clause,https://opensource.org/licenses/BSD-2-Clause,BSD-2-Clause (Simplified) License
GFDL-1.3,https://www.gnu.org/licenses/fdl-1.3.en.html,GNU Free Documentation License v1.3
GPL-3.0,https://www.gnu.org/licenses/gpl-3.0.en.html,GNU General Public License v3.0
LGPL-3.0,https://www.gnu.org/licenses/lgpl-3.0.en.html,GNU Lesser General Public License v3.0
MIT,https://opensource.org/licenses/MIT,MIT License
Princeton-WordNet,https://wordnet.princeton.edu/wordnet/license/,WordNet v3.0 (Princeton WordNet) License
EPL-1.0,https://www.eclipse.org/legal/epl-v10.html,Eclipse Public License v1.0
NLM,https://www.nlm.nih.gov/databases/license/license.pdf,U.S. National Library of Medicine (NLM) License Agreement for NLM Data
f-DPPL-3.0,https://www.hbz-nrw.de/produkte/open-access/lizenzen/dppl/fdppl/f-DPPL_v3_en_11-2008,Free Digital Peer Publishing Licence (v3 en)
M-DPPL-3.0,https://www.hbz-nrw.de/produkte/open-access/lizenzen/dppl/mdppl/m-DPPL_v3_en_11-2008,Modular Digital Peer Publishing Licence (v3 en)
